LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1709252672.125963,2600685.000,43615,1,AX,1,100,-0.136
1709252672.165965,2600725.000,43631,2,AX,1,100,-0.126
1709252672.205966,2600765.000,43631,2,AX,1,100,-0.113
1709252672.245967,2600805.000,43646,3,AX,1,100,-0.134
1709252672.285968,2600845.000,43646,3,AX,1,100,-0.116
1709252672.325969,2600885.000,43646,3,AX,1,100,-0.156
1709252672.365970,2600925.000,43663,2,AX,1,100,-0.155
1709252672.405971,2600965.000,43663,2,AX,1,100,-0.147
1709252672.445972,2601005.000,43680,3,AX,1,100,-0.115
1709252672.485973,2601045.000,43680,3,AX,1,100,-0.117
1709252672.525974,2601085.000,43680,3,AX,1,100,-0.146
1709252672.565975,2601125.000,43698,2,AX,1,100,-0.133
1709252672.605976,2601165.000,43698,2,AX,1,100,-0.116
1709252672.645977,2601205.000,43714,3,AX,1,100,-0.131
1709252672.685978,2601245.000,43714,3,AX,1,100,-0.139
1709252672.725979,2601285.000,43714,3,AX,1,100,-0.134
1709252672.765980,2601325.000,43732,3,AX,1,100,-0.126
1709252672.805981,2601365.000,43732,3,AX,1,100,-0.143
1709252672.845982,2601405.000,43732,3,AX,1,100,-0.127
1709252672.885983,2601445.000,43749,3,AX,1,100,-0.121
1709252672.925984,2601485.000,43749,3,AX,1,100,-0.147
1709252672.965986,2601525.000,43749,3,AX,1,100,-0.101
1709252673.005986,2601565.000,43766,3,AX,1,100,-0.144
1709252673.045988,2601605.000,43766,3,AX,1,100,-0.115
1709252673.085989,2601645.000,43766,3,AX,1,100,-0.132
1709252673.125990,2601685.000,43783,2,AX,1,100,-0.156
1709252673.165991,2601725.000,43783,2,AX,1,100,-0.088
1709252673.205992,2601765.000,43798,3,AX,1,100,-0.142
1709252673.245993,2601805.000,43798,3,AX,1,100,-0.135
1709252673.285994,2601845.000,43798,3,AX,1,100,-0.122
1709252673.325995,2601885.000,43815,2,AX,1,100,-0.118
1709252673.365996,2601925.000,43815,2,AX,1,100,-0.134
1709252673.405997,2601965.000,43831,3,AX,1,100,-0.131
1709252673.445998,2602005.000,43831,3,AX,1,100,-0.129
1709252673.485999,2602045.000,43831,3,AX,1,100,-0.124
1709252673.526000,2602085.000,43848,2,AX,1,100,-0.118
1709252673.566001,2602125.000,43848,2,AX,1,100,-0.137
1709252673.606002,2602165.000,43865,3,AX,1,100,-0.146
1709252673.646003,2602205.000,43865,3,AX,1,100,-0.114
1709252673.686004,2602245.000,43865,3,AX,1,100,-0.128
1709252673.721672,2602280.667,43880,3,AX,1,100,-0.131
1709252673.757339,2602316.333,43880,3,AX,1,100,-0.118
1709252673.793007,2602352.000,43880,3,AX,1,100,-0.140
1709252673.833008,2602392.000,43896,2,AX,1,100,-0.125
1709252673.873009,2602432.000,43896,2,AX,1,100,-0.127
1709252673.913010,2602472.000,43913,3,AX,1,100,-0.117
1709252673.953011,2602512.000,43913,3,AX,1,100,-0.155
1709252673.993012,2602552.000,43913,3,AX,1,100,-0.121
1709252674.033013,2602592.000,43932,2,AX,1,100,-0.114
1709252674.073014,2602632.000,43932,2,AX,1,100,-0.135
1709252674.113015,2602672.000,43947,3,AX,1,100,-0.102
1709252674.153017,2602712.000,43947,3,AX,1,100,-0.185
1709252674.193017,2602752.000,43947,3,AX,1,100,-0.114
1709252674.233019,2602792.000,43963,3,AX,1,100,-0.087
1709252674.273020,2602832.000,43963,3,AX,1,100,-0.174
1709252674.313021,2602872.000,43963,3,AX,1,100,-0.135
1709252674.353022,2602912.000,43986,4,AX,1,100,-0.096
1709252674.393023,2602952.000,43986,4,AX,1,100,-0.122
1709252674.433024,2602992.000,43986,4,AX,1,100,-0.160
1709252674.473025,2603032.000,43986,4,AX,1,100,-0.129
