LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709872531.332859,959255.000,26000,3,MZ,1,100,54
1709872531.332859,959255.000,26000,3,MZ,1,100,54
1709872531.332859,959255.000,26000,3,MZ,1,100,54
1709872531.372859,959295.000,26015,2,MZ,1,100,54
1709872531.412859,959335.000,26015,2,MZ,1,100,54
1709872531.452860,959375.000,26034,3,MZ,1,100,55
1709872531.492860,959415.000,26034,3,MZ,1,100,54
1709872531.532861,959455.000,26034,3,MZ,1,100,54
1709872531.573195,959495.333,26051,3,MZ,1,100,54
1709872531.613528,959535.667,26051,3,MZ,1,100,54
1709872531.653862,959576.000,26051,3,MZ,1,100,54
1709872531.687363,959609.500,26067,2,MZ,1,100,54
1709872531.720863,959643.000,26067,2,MZ,1,100,55
1709872531.760864,959683.000,26082,3,MZ,1,100,54
1709872531.800864,959723.000,26082,3,MZ,1,100,54
1709872531.840864,959763.000,26082,3,MZ,1,100,54
1709872531.880865,959803.000,26101,3,MZ,1,100,55
1709872531.920865,959843.000,26101,3,MZ,1,100,54
1709872531.960866,959883.000,26101,3,MZ,1,100,54
1709872532.000866,959923.000,26118,2,MZ,1,100,55
1709872532.040867,959963.000,26118,2,MZ,1,100,54
1709872532.080867,960003.000,26134,3,MZ,1,100,53
1709872532.120867,960043.000,26134,3,MZ,1,100,54
1709872532.160868,960083.000,26134,3,MZ,1,100,54
1709872532.200868,960123.000,26150,2,MZ,1,100,53
1709872532.240869,960163.000,26150,2,MZ,1,100,54
1709872532.280869,960203.000,26166,3,MZ,1,100,55
1709872532.320870,960243.000,26166,3,MZ,1,100,54
1709872532.360870,960283.000,26166,3,MZ,1,100,54
1709872532.400871,960323.000,26183,2,MZ,1,100,55
1709872532.440871,960363.000,26183,2,MZ,1,100,55
1709872532.480872,960403.000,26200,3,MZ,1,100,53
1709872532.520872,960443.000,26200,3,MZ,1,100,54
1709872532.560873,960483.000,26200,3,MZ,1,100,53
1709872532.600873,960523.000,26217,2,MZ,1,100,55
1709872532.640873,960563.000,26217,2,MZ,1,100,55
1709872532.680874,960603.000,26235,3,MZ,1,100,53
1709872532.720874,960643.000,26235,3,MZ,1,100,53
1709872532.760875,960683.000,26235,3,MZ,1,100,54
1709872532.800875,960723.000,26252,2,MZ,1,100,56
1709872532.840876,960763.000,26252,2,MZ,1,100,53
1709872532.880876,960803.000,26269,3,MZ,1,100,54
1709872532.920877,960843.000,26269,3,MZ,1,100,55
1709872532.960877,960883.000,26269,3,MZ,1,100,55
1709872533.000878,960923.000,26285,2,MZ,1,100,53
1709872533.040878,960963.000,26285,2,MZ,1,100,54
1709872533.080878,961003.000,26302,3,MZ,1,100,54
1709872533.120879,961043.000,26302,3,MZ,1,100,54
1709872533.160879,961083.000,26302,3,MZ,1,100,55
1709872533.200547,961122.667,26320,3,MZ,1,100,54
1709872533.240214,961162.333,26320,3,MZ,1,100,54
1709872533.279881,961202.000,26320,3,MZ,1,100,54
1709872533.319881,961242.000,26336,2,MZ,1,100,54
1709872533.359882,961282.000,26336,2,MZ,1,100,54
1709872533.400216,961322.333,26353,3,MZ,1,100,54
1709872533.440549,961362.667,26353,3,MZ,1,100,54
1709872533.480883,961403.000,26353,3,MZ,1,100,54
1709872533.520384,961442.500,26370,2,MZ,1,100,54
1709872533.559884,961482.000,26370,2,MZ,1,100,54
1709872533.600218,961522.333,26389,3,MZ,1,100,54
1709872533.640552,961562.667,26389,3,MZ,1,100,54
1709872533.680885,961603.000,26389,3,MZ,1,100,53
1709872533.715886,961638.000,26412,3,MZ,1,100,54
1709872533.750886,961673.000,26412,3,MZ,1,100,54
1709872533.785887,961708.000,26412,3,MZ,1,100,54
1709872533.826387,961748.500,26432,2,MZ,1,100,53
1709872533.866888,961789.000,26432,2,MZ,1,100,54
1709872533.906555,961828.667,26446,3,MZ,1,100,54
1709872533.946222,961868.333,26446,3,MZ,1,100,55
1709872533.985889,961908.000,26446,3,MZ,1,100,54
1709872534.026389,961948.500,26463,2,MZ,1,100,54
1709872534.066890,961989.000,26463,2,MZ,1,100,54
1709872534.106890,962029.000,26479,3,MZ,1,100,54
1709872534.146891,962069.000,26479,3,MZ,1,100,54
1709872534.186891,962109.000,26479,3,MZ,1,100,55
1709872534.226892,962149.000,26499,2,MZ,1,100,55
1709872534.266892,962189.000,26499,2,MZ,1,100,54
1709872534.306559,962228.667,26513,3,MZ,1,100,54
1709872534.346226,962268.333,26513,3,MZ,1,100,55
1709872534.385893,962308.000,26513,3,MZ,1,100,54
1709872534.425894,962348.000,26532,2,MZ,1,100,54
1709872534.465894,962388.000,26532,2,MZ,1,100,55
1709872534.505895,962428.000,26549,3,MZ,1,100,53
1709872534.545895,962468.000,26549,3,MZ,1,100,55
1709872534.585896,962508.000,26549,3,MZ,1,100,54
1709872534.626230,962548.333,26566,3,MZ,1,100,54
1709872534.666563,962588.667,26566,3,MZ,1,100,53
1709872534.706897,962629.000,26566,3,MZ,1,100,53
1709872534.746397,962668.500,26583,2,MZ,1,100,53
1709872534.785898,962708.000,26583,2,MZ,1,100,54
1709872534.825898,962748.000,26600,3,MZ,1,100,55
1709872534.865899,962788.000,26600,3,MZ,1,100,52
1709872534.905899,962828.000,26600,3,MZ,1,100,54
1709872534.945900,962868.000,26618,2,MZ,1,100,53
1709872534.985900,962908.000,26618,2,MZ,1,100,55
1709872535.025901,962948.000,26637,3,MZ,1,100,55
1709872535.065901,962988.000,26637,3,MZ,1,100,54
1709872535.105902,963028.000,26637,3,MZ,1,100,53
1709872535.145902,963068.000,26654,2,MZ,1,100,54
1709872535.185903,963108.000,26654,2,MZ,1,100,54
1709872535.225903,963148.000,26671,3,MZ,1,100,53
1709872535.265903,963188.000,26671,3,MZ,1,100,54
1709872535.305904,963228.000,26671,3,MZ,1,100,55
1709872535.345904,963268.000,26689,2,MZ,1,100,53
1709872535.385905,963308.000,26689,2,MZ,1,100,55
1709872535.425905,963348.000,26706,3,MZ,1,100,54
