LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1709872537.293260,965215.333,27003,3,AZ,1,100,0.956
1709872537.332927,965255.000,27003,3,AZ,1,100,0.964
1709872537.372928,965295.000,27017,3,AZ,1,100,0.958
1709872537.412928,965335.000,27017,3,AZ,1,100,0.956
1709872537.452929,965375.000,27017,3,AZ,1,100,0.957
1709872537.486429,965408.500,27037,2,AZ,1,100,0.956
1709872537.519929,965442.000,27037,2,AZ,1,100,0.959
1709872537.559596,965481.667,27053,3,AZ,1,100,0.954
1709872537.599263,965521.333,27053,3,AZ,1,100,0.954
1709872537.638931,965561.000,27053,3,AZ,1,100,0.955
1709872537.678931,965601.000,27070,3,AZ,1,100,0.960
1709872537.718932,965641.000,27070,3,AZ,1,100,0.956
1709872537.758932,965681.000,27070,3,AZ,1,100,0.957
1709872537.798933,965721.000,27084,2,AZ,1,100,0.954
1709872537.838933,965761.000,27084,2,AZ,1,100,0.958
1709872537.878933,965801.000,27102,3,AZ,1,100,0.953
1709872537.918934,965841.000,27102,3,AZ,1,100,0.959
1709872537.958934,965881.000,27102,3,AZ,1,100,0.954
1709872537.998935,965921.000,27118,2,AZ,1,100,0.954
1709872538.038935,965961.000,27118,2,AZ,1,100,0.957
1709872538.078936,966001.000,27135,3,AZ,1,100,0.951
1709872538.118936,966041.000,27135,3,AZ,1,100,0.955
1709872538.158937,966081.000,27135,3,AZ,1,100,0.955
1709872538.198937,966121.000,27150,2,AZ,1,100,0.950
1709872538.238938,966161.000,27150,2,AZ,1,100,0.957
1709872538.278938,966201.000,27169,3,AZ,1,100,0.958
1709872538.318938,966241.000,27169,3,AZ,1,100,0.957
1709872538.358939,966281.000,27169,3,AZ,1,100,0.955
1709872538.398939,966321.000,27185,2,AZ,1,100,0.955
1709872538.438940,966361.000,27185,2,AZ,1,100,0.951
1709872538.478940,966401.000,27203,3,AZ,1,100,0.951
1709872538.518941,966441.000,27203,3,AZ,1,100,0.958
1709872538.558941,966481.000,27203,3,AZ,1,100,0.947
1709872538.598942,966521.000,27218,2,AZ,1,100,0.959
1709872538.638942,966561.000,27218,2,AZ,1,100,0.955
1709872538.678942,966601.000,27234,3,AZ,1,100,0.958
1709872538.718943,966641.000,27234,3,AZ,1,100,0.952
1709872538.758944,966681.000,27234,3,AZ,1,100,0.952
1709872538.798944,966721.000,27255,2,AZ,1,100,0.950
1709872538.838944,966761.000,27255,2,AZ,1,100,0.958
1709872538.878945,966801.000,27275,3,AZ,1,100,0.955
1709872538.918945,966841.000,27275,3,AZ,1,100,0.953
1709872538.958946,966881.000,27275,3,AZ,1,100,0.954
1709872538.998946,966921.000,27290,2,AZ,1,100,0.957
1709872539.038947,966961.000,27290,2,AZ,1,100,0.950
1709872539.078947,967001.000,27310,3,AZ,1,100,0.955
1709872539.118948,967041.000,27310,3,AZ,1,100,0.960
1709872539.158948,967081.000,27310,3,AZ,1,100,0.953
1709872539.198948,967121.000,27327,3,AZ,1,100,0.955
1709872539.238949,967161.000,27327,3,AZ,1,100,0.949
1709872539.278949,967201.000,27327,3,AZ,1,100,0.954
1709872539.318950,967241.000,27344,2,AZ,1,100,0.955
1709872539.358950,967281.000,27344,2,AZ,1,100,0.959
1709872539.394617,967316.667,27362,3,AZ,1,100,0.954
1709872539.430285,967352.333,27362,3,AZ,1,100,0.956
1709872539.465951,967388.000,27362,3,AZ,1,100,0.952
1709872539.505952,967428.000,27378,2,AZ,1,100,0.952
1709872539.545953,967468.000,27378,2,AZ,1,100,0.954
1709872539.585953,967508.000,27394,3,AZ,1,100,0.957
1709872539.625953,967548.000,27394,3,AZ,1,100,0.954
1709872539.665954,967588.000,27394,3,AZ,1,100,0.955
1709872539.705954,967628.000,27411,3,AZ,1,100,0.953
1709872539.745955,967668.000,27411,3,AZ,1,100,0.952
1709872539.785955,967708.000,27411,3,AZ,1,100,0.955
1709872539.825956,967748.000,27430,2,AZ,1,100,0.952
1709872539.865956,967788.000,27430,2,AZ,1,100,0.954
1709872539.905957,967828.000,27445,3,AZ,1,100,0.955
1709872539.945957,967868.000,27445,3,AZ,1,100,0.954
1709872539.985957,967908.000,27445,3,AZ,1,100,0.954
1709872540.025958,967948.000,27461,2,AZ,1,100,0.950
1709872540.065958,967988.000,27461,2,AZ,1,100,0.959
1709872540.105959,968028.000,27478,3,AZ,1,100,0.954
1709872540.145959,968068.000,27478,3,AZ,1,100,0.956
1709872540.185960,968108.000,27478,3,AZ,1,100,0.956
