LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1709872535.265903,963188.000,26669,3,MX,1,100,16
1709872535.305904,963228.000,26669,3,MX,1,100,17
1709872535.345904,963268.000,26687,2,MX,1,100,16
1709872535.385905,963308.000,26687,2,MX,1,100,16
1709872535.425905,963348.000,26704,3,MX,1,100,17
1709872535.465906,963388.000,26704,3,MX,1,100,16
1709872535.505906,963428.000,26704,3,MX,1,100,16
1709872535.541573,963463.667,26723,3,MX,1,100,16
1709872535.577240,963499.333,26723,3,MX,1,100,16
1709872535.612907,963535.000,26723,3,MX,1,100,16
1709872535.652908,963575.000,26738,2,MX,1,100,16
1709872535.692908,963615.000,26738,2,MX,1,100,16
1709872535.732909,963655.000,26754,3,MX,1,100,17
1709872535.772909,963695.000,26754,3,MX,1,100,17
1709872535.812910,963735.000,26754,3,MX,1,100,17
1709872535.852910,963775.000,26772,2,MX,1,100,17
1709872535.892911,963815.000,26772,2,MX,1,100,16
1709872535.932911,963855.000,26790,3,MX,1,100,17
1709872535.972912,963895.000,26790,3,MX,1,100,16
1709872536.012912,963935.000,26790,3,MX,1,100,16
1709872536.052912,963975.000,26805,2,MX,1,100,15
1709872536.092913,964015.000,26805,2,MX,1,100,17
1709872536.132913,964055.000,26822,3,MX,1,100,15
1709872536.172914,964095.000,26822,3,MX,1,100,16
1709872536.212914,964135.000,26822,3,MX,1,100,16
1709872536.252915,964175.000,26839,3,MX,1,100,16
1709872536.292915,964215.000,26839,3,MX,1,100,17
1709872536.332916,964255.000,26839,3,MX,1,100,15
1709872536.372916,964295.000,26855,2,MX,1,100,15
1709872536.412917,964335.000,26855,2,MX,1,100,15
1709872536.452917,964375.000,26870,3,MX,1,100,16
1709872536.492918,964415.000,26870,3,MX,1,100,15
1709872536.532918,964455.000,26870,3,MX,1,100,15
1709872536.572918,964495.000,26889,2,MX,1,100,16
1709872536.612919,964535.000,26889,2,MX,1,100,16
1709872536.652919,964575.000,26908,3,MX,1,100,15
1709872536.692920,964615.000,26908,3,MX,1,100,16
1709872536.732920,964655.000,26908,3,MX,1,100,17
1709872536.772921,964695.000,26924,2,MX,1,100,16
1709872536.812921,964735.000,26924,2,MX,1,100,16
1709872536.853255,964775.333,26941,3,MX,1,100,17
1709872536.893589,964815.667,26941,3,MX,1,100,16
1709872536.933923,964856.000,26941,3,MX,1,100,15
1709872536.973923,964896.000,26956,2,MX,1,100,16
1709872537.013923,964936.000,26956,2,MX,1,100,16
1709872537.053591,964975.667,26973,3,MX,1,100,15
1709872537.093258,965015.333,26973,3,MX,1,100,15
1709872537.132925,965055.000,26973,3,MX,1,100,16
1709872537.173425,965095.500,26990,2,MX,1,100,15
1709872537.213926,965136.000,26990,2,MX,1,100,16
1709872537.253593,965175.667,27007,3,MX,1,100,15
1709872537.293260,965215.333,27007,3,MX,1,100,15
1709872537.332927,965255.000,27007,3,MX,1,100,16
1709872537.372928,965295.000,27021,3,MX,1,100,16
1709872537.412928,965335.000,27021,3,MX,1,100,17
1709872537.452929,965375.000,27021,3,MX,1,100,16
1709872537.486429,965408.500,27041,2,MX,1,100,16
1709872537.519929,965442.000,27041,2,MX,1,100,16
1709872537.559596,965481.667,27057,3,MX,1,100,16
1709872537.599263,965521.333,27057,3,MX,1,100,16
1709872537.638931,965561.000,27057,3,MX,1,100,16
1709872537.678931,965601.000,27074,3,MX,1,100,16
1709872537.718932,965641.000,27074,3,MX,1,100,17
1709872537.758932,965681.000,27074,3,MX,1,100,16
1709872537.798933,965721.000,27088,2,MX,1,100,16
1709872537.838933,965761.000,27088,2,MX,1,100,16
1709872537.878933,965801.000,27106,3,MX,1,100,16
1709872537.918934,965841.000,27106,3,MX,1,100,15
1709872537.958934,965881.000,27106,3,MX,1,100,15
1709872537.998935,965921.000,27122,2,MX,1,100,15
1709872538.038935,965961.000,27122,2,MX,1,100,16
1709872538.078936,966001.000,27139,3,MX,1,100,16
1709872538.118936,966041.000,27139,3,MX,1,100,16
1709872538.158937,966081.000,27139,3,MX,1,100,16
1709872538.198937,966121.000,27154,2,MX,1,100,16
1709872538.238938,966161.000,27154,2,MX,1,100,15
1709872538.278938,966201.000,27173,3,MX,1,100,17
1709872538.318938,966241.000,27173,3,MX,1,100,15
1709872538.358939,966281.000,27173,3,MX,1,100,17
1709872538.398939,966321.000,27189,2,MX,1,100,16
1709872538.438940,966361.000,27189,2,MX,1,100,15
1709872538.478940,966401.000,27207,3,MX,1,100,15
1709872538.518941,966441.000,27207,3,MX,1,100,15
1709872538.558941,966481.000,27207,3,MX,1,100,17
1709872538.598942,966521.000,27222,2,MX,1,100,16
1709872538.638942,966561.000,27222,2,MX,1,100,15
1709872538.678942,966601.000,27238,3,MX,1,100,16
1709872538.718943,966641.000,27238,3,MX,1,100,16
1709872538.758944,966681.000,27238,3,MX,1,100,17
1709872538.798944,966721.000,27259,2,MX,1,100,16
1709872538.838944,966761.000,27259,2,MX,1,100,17
1709872538.878945,966801.000,27279,3,MX,1,100,15
1709872538.918945,966841.000,27279,3,MX,1,100,15
1709872538.958946,966881.000,27279,3,MX,1,100,16
1709872538.998946,966921.000,27294,2,MX,1,100,17
1709872539.038947,966961.000,27294,2,MX,1,100,15
1709872539.078947,967001.000,27314,3,MX,1,100,16
1709872539.118948,967041.000,27314,3,MX,1,100,15
1709872539.158948,967081.000,27314,3,MX,1,100,16
1709872539.198948,967121.000,27331,3,MX,1,100,16
1709872539.238949,967161.000,27331,3,MX,1,100,16
1709872539.278949,967201.000,27331,3,MX,1,100,16
1709872539.318950,967241.000,27348,2,MX,1,100,16
1709872539.358950,967281.000,27348,2,MX,1,100,15
1709872539.394617,967316.667,27366,3,MX,1,100,16
1709872539.430285,967352.333,27366,3,MX,1,100,15
1709872539.465951,967388.000,27366,3,MX,1,100,16
1709872539.505952,967428.000,27382,2,MX,1,100,16
1709872539.545953,967468.000,27382,2,MX,1,100,16
1709872539.585953,967508.000,27398,3,MX,1,100,16
1709872539.625953,967548.000,27398,3,MX,1,100,15
1709872539.665954,967588.000,27398,3,MX,1,100,15
1709872539.705954,967628.000,27415,3,MX,1,100,16
1709872539.745955,967668.000,27415,3,MX,1,100,16
1709872539.785955,967708.000,27415,3,MX,1,100,16
1709872539.825956,967748.000,27434,2,MX,1,100,15
1709872539.865956,967788.000,27434,2,MX,1,100,16
1709872539.905957,967828.000,27449,3,MX,1,100,15
1709872539.945957,967868.000,27449,3,MX,1,100,16
1709872539.985957,967908.000,27449,3,MX,1,100,15
1709872540.025958,967948.000,27465,2,MX,1,100,16
1709872540.065958,967988.000,27465,2,MX,1,100,17
1709872540.105959,968028.000,27482,3,MX,1,100,15
1709872540.145959,968068.000,27482,3,MX,1,100,15
1709872540.185960,968108.000,27482,3,MX,1,100,16
1709872540.225960,968148.000,27501,2,MX,1,100,15
1709872540.265961,968188.000,27501,2,MX,1,100,16
1709872540.305961,968228.000,27518,3,MX,1,100,15
1709872540.345962,968268.000,27518,3,MX,1,100,15
1709872540.385962,968308.000,27518,3,MX,1,100,16
1709872540.425962,968348.000,27534,2,MX,1,100,15
1709872540.465963,968388.000,27534,2,MX,1,100,15
1709872540.505963,968428.000,27552,3,MX,1,100,16
1709872540.545964,968468.000,27552,3,MX,1,100,15
1709872540.585964,968508.000,27552,3,MX,1,100,16
1709872540.625965,968548.000,27570,3,MX,1,100,15
1709872540.665965,968588.000,27570,3,MX,1,100,15
1709872540.705966,968628.000,27570,3,MX,1,100,16
1709872540.745966,968668.000,27586,2,MX,1,100,15
1709872540.785967,968708.000,27586,2,MX,1,100,15
1709872540.825967,968748.000,27602,3,MX,1,100,15
1709872540.865968,968788.000,27602,3,MX,1,100,15
1709872540.905968,968828.000,27602,3,MX,1,100,16
1709872540.945968,968868.000,27621,2,MX,1,100,15
1709872540.985969,968908.000,27621,2,MX,1,100,15
1709872541.025969,968948.000,27637,3,MX,1,100,15
1709872541.065970,968988.000,27637,3,MX,1,100,15
1709872541.105970,969028.000,27637,3,MX,1,100,16
1709872541.141637,969063.667,27655,3,MX,1,100,16
1709872541.177305,969099.333,27655,3,MX,1,100,16
1709872541.212971,969135.000,27655,3,MX,1,100,17
1709872541.252972,969175.000,27669,2,MX,1,100,16
1709872541.292972,969215.000,27669,2,MX,1,100,15
1709872541.332973,969255.000,27686,3,MX,1,100,16
1709872541.372973,969295.000,27686,3,MX,1,100,15
1709872541.412974,969335.000,27686,3,MX,1,100,16
1709872541.452974,969375.000,27702,2,MX,1,100,16
1709872541.492975,969415.000,27702,2,MX,1,100,15
1709872541.532975,969455.000,27720,3,MX,1,100,16
1709872541.572976,969495.000,27720,3,MX,1,100,17
1709872541.612976,969535.000,27720,3,MX,1,100,14
1709872541.652977,969575.000,27734,2,MX,1,100,15
1709872541.692977,969615.000,27734,2,MX,1,100,16
1709872541.732977,969655.000,27751,3,MX,1,100,15
1709872541.772978,969695.000,27751,3,MX,1,100,16
1709872541.812978,969735.000,27751,3,MX,1,100,16
1709872541.852979,969775.000,27768,2,MX,1,100,16
1709872541.892979,969815.000,27768,2,MX,1,100,15
1709872541.932647,969854.667,27787,3,MX,1,100,15
1709872541.972313,969894.333,27787,3,MX,1,100,16
1709872542.011981,969934.000,27787,3,MX,1,100,16
1709872542.051981,969974.000,27801,2,MX,1,100,17
1709872542.091982,970014.000,27801,2,MX,1,100,17
1709872542.131982,970054.000,27821,3,MX,1,100,15
