LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1709872534.905899,962828.000,26596,3,GY,1,100,-0.031
1709872534.945900,962868.000,26614,2,GY,1,100,0.000
1709872534.985900,962908.000,26614,2,GY,1,100,0.153
1709872535.025901,962948.000,26633,3,GY,1,100,0.824
1709872535.065901,962988.000,26633,3,GY,1,100,1.160
1709872535.105902,963028.000,26633,3,GY,1,100,0.549
1709872535.145902,963068.000,26650,2,GY,1,100,-0.244
1709872535.185903,963108.000,26650,2,GY,1,100,-0.427
1709872535.225903,963148.000,26667,3,GY,1,100,-0.885
1709872535.265903,963188.000,26667,3,GY,1,100,-0.488
1709872535.305904,963228.000,26667,3,GY,1,100,-0.061
1709872535.345904,963268.000,26685,2,GY,1,100,0.305
1709872535.385905,963308.000,26685,2,GY,1,100,0.244
1709872535.425905,963348.000,26702,3,GY,1,100,0.793
1709872535.465906,963388.000,26702,3,GY,1,100,5.951
1709872535.505906,963428.000,26702,3,GY,1,100,4.639
1709872535.541573,963463.667,26721,3,GY,1,100,1.190
1709872535.577240,963499.333,26721,3,GY,1,100,-1.038
1709872535.612907,963535.000,26721,3,GY,1,100,-1.770
1709872535.652908,963575.000,26736,2,GY,1,100,-0.610
1709872535.692908,963615.000,26736,2,GY,1,100,-0.061
1709872535.732909,963655.000,26752,3,GY,1,100,0.092
1709872535.772909,963695.000,26752,3,GY,1,100,-0.214
1709872535.812910,963735.000,26752,3,GY,1,100,0.153
1709872535.852910,963775.000,26770,2,GY,1,100,0.549
1709872535.892911,963815.000,26770,2,GY,1,100,0.183
1709872535.932911,963855.000,26788,3,GY,1,100,0.122
1709872535.972912,963895.000,26788,3,GY,1,100,0.427
1709872536.012912,963935.000,26788,3,GY,1,100,0.153
1709872536.052912,963975.000,26803,2,GY,1,100,0.458
1709872536.092913,964015.000,26803,2,GY,1,100,2.655
1709872536.132913,964055.000,26820,3,GY,1,100,9.094
1709872536.172914,964095.000,26820,3,GY,1,100,12.238
1709872536.212914,964135.000,26820,3,GY,1,100,7.507
1709872536.252915,964175.000,26837,3,GY,1,100,6.439
1709872536.292915,964215.000,26837,3,GY,1,100,6.805
1709872536.332916,964255.000,26837,3,GY,1,100,6.317
1709872536.372916,964295.000,26853,2,GY,1,100,7.385
1709872536.412917,964335.000,26853,2,GY,1,100,7.599
1709872536.452917,964375.000,26868,3,GY,1,100,7.904
1709872536.492918,964415.000,26868,3,GY,1,100,5.341
1709872536.532918,964455.000,26868,3,GY,1,100,2.655
1709872536.572918,964495.000,26887,2,GY,1,100,-6.012
1709872536.612919,964535.000,26887,2,GY,1,100,-8.026
1709872536.652919,964575.000,26906,3,GY,1,100,-1.129
1709872536.692920,964615.000,26906,3,GY,1,100,4.486
1709872536.732920,964655.000,26906,3,GY,1,100,2.686
1709872536.772921,964695.000,26922,2,GY,1,100,5.432
1709872536.812921,964735.000,26922,2,GY,1,100,6.195
1709872536.853255,964775.333,26939,3,GY,1,100,1.038
1709872536.893589,964815.667,26939,3,GY,1,100,1.953
1709872536.933923,964856.000,26939,3,GY,1,100,1.862
1709872536.973923,964896.000,26954,2,GY,1,100,-0.946
1709872537.013923,964936.000,26954,2,GY,1,100,4.242
1709872537.053591,964975.667,26971,3,GY,1,100,5.371
1709872537.093258,965015.333,26971,3,GY,1,100,3.418
1709872537.132925,965055.000,26971,3,GY,1,100,0.031
1709872537.173425,965095.500,26988,2,GY,1,100,-0.793
1709872537.213926,965136.000,26988,2,GY,1,100,-0.488
1709872537.253593,965175.667,27005,3,GY,1,100,-0.702
1709872537.293260,965215.333,27005,3,GY,1,100,-1.984
1709872537.332927,965255.000,27005,3,GY,1,100,-0.427
1709872537.372928,965295.000,27019,3,GY,1,100,-1.312
1709872537.412928,965335.000,27019,3,GY,1,100,-2.106
1709872537.452929,965375.000,27019,3,GY,1,100,-0.610
1709872537.486429,965408.500,27039,2,GY,1,100,-0.214
1709872537.519929,965442.000,27039,2,GY,1,100,-0.366
1709872537.559596,965481.667,27055,3,GY,1,100,-1.129
1709872537.599263,965521.333,27055,3,GY,1,100,-1.465
1709872537.638931,965561.000,27055,3,GY,1,100,-0.641
1709872537.678931,965601.000,27072,3,GY,1,100,-0.458
1709872537.718932,965641.000,27072,3,GY,1,100,-0.916
1709872537.758932,965681.000,27072,3,GY,1,100,-1.526
1709872537.798933,965721.000,27086,2,GY,1,100,-0.244
1709872537.838933,965761.000,27086,2,GY,1,100,-0.214
1709872537.878933,965801.000,27104,3,GY,1,100,-0.183
1709872537.918934,965841.000,27104,3,GY,1,100,-0.214
1709872537.958934,965881.000,27104,3,GY,1,100,0.031
1709872537.998935,965921.000,27120,2,GY,1,100,0.061
1709872538.038935,965961.000,27120,2,GY,1,100,0.153
1709872538.078936,966001.000,27137,3,GY,1,100,-0.214
1709872538.118936,966041.000,27137,3,GY,1,100,-0.214
1709872538.158937,966081.000,27137,3,GY,1,100,0.427
1709872538.198937,966121.000,27152,2,GY,1,100,0.153
1709872538.238938,966161.000,27152,2,GY,1,100,-0.305
1709872538.278938,966201.000,27171,3,GY,1,100,0.214
1709872538.318938,966241.000,27171,3,GY,1,100,-0.397
1709872538.358939,966281.000,27171,3,GY,1,100,-0.519
1709872538.398939,966321.000,27187,2,GY,1,100,-0.336
1709872538.438940,966361.000,27187,2,GY,1,100,0.641
1709872538.478940,966401.000,27205,3,GY,1,100,0.092
1709872538.518941,966441.000,27205,3,GY,1,100,-0.275
1709872538.558941,966481.000,27205,3,GY,1,100,-1.678
1709872538.598942,966521.000,27220,2,GY,1,100,-1.617
1709872538.638942,966561.000,27220,2,GY,1,100,-0.793
1709872538.678942,966601.000,27236,3,GY,1,100,-0.763
1709872538.718943,966641.000,27236,3,GY,1,100,-0.092
1709872538.758944,966681.000,27236,3,GY,1,100,-1.068
1709872538.798944,966721.000,27257,2,GY,1,100,-0.427
1709872538.838944,966761.000,27257,2,GY,1,100,-0.549
1709872538.878945,966801.000,27277,3,GY,1,100,-0.580
1709872538.918945,966841.000,27277,3,GY,1,100,-0.671
1709872538.958946,966881.000,27277,3,GY,1,100,-0.061
1709872538.998946,966921.000,27292,2,GY,1,100,0.153
1709872539.038947,966961.000,27292,2,GY,1,100,0.427
1709872539.078947,967001.000,27312,3,GY,1,100,0.854
1709872539.118948,967041.000,27312,3,GY,1,100,0.916
1709872539.158948,967081.000,27312,3,GY,1,100,-0.122
1709872539.198948,967121.000,27329,3,GY,1,100,-0.183
1709872539.238949,967161.000,27329,3,GY,1,100,0.061
1709872539.278949,967201.000,27329,3,GY,1,100,0.092
1709872539.318950,967241.000,27346,2,GY,1,100,-0.153
1709872539.358950,967281.000,27346,2,GY,1,100,-0.031
1709872539.394617,967316.667,27364,3,GY,1,100,-0.031
1709872539.430285,967352.333,27364,3,GY,1,100,-0.153
1709872539.465951,967388.000,27364,3,GY,1,100,0.305
