LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1706146402.770191,1517379.000,54193,1,AZ,1,100,0.977
1706146402.810191,1517419.000,54209,2,AZ,1,100,0.987
1706146402.850191,1517459.000,54209,2,AZ,1,100,0.989
1706146402.885858,1517494.667,54227,3,AZ,1,100,0.978
1706146402.921525,1517530.333,54227,3,AZ,1,100,0.991
1706146402.957191,1517566.000,54227,3,AZ,1,100,0.975
1706146402.997191,1517606.000,54243,3,AZ,1,100,0.994
1706146403.037191,1517646.000,54243,3,AZ,1,100,0.975
1706146403.077191,1517686.000,54243,3,AZ,1,100,0.990
1706146403.117191,1517726.000,54262,2,AZ,1,100,0.984
1706146403.157191,1517766.000,54262,2,AZ,1,100,0.983
1706146403.197191,1517806.000,54276,3,AZ,1,100,0.984
1706146403.237191,1517846.000,54276,3,AZ,1,100,0.982
1706146403.277191,1517886.000,54276,3,AZ,1,100,0.981
1706146403.317191,1517926.000,54294,3,AZ,1,100,0.982
1706146403.357191,1517966.000,54294,3,AZ,1,100,0.992
1706146403.397191,1518006.000,54294,3,AZ,1,100,0.979
1706146403.437191,1518046.000,54312,2,AZ,1,100,0.988
1706146403.477191,1518086.000,54312,2,AZ,1,100,0.987
1706146403.517191,1518126.000,54331,3,AZ,1,100,0.984
1706146403.557191,1518166.000,54331,3,AZ,1,100,0.987
1706146403.597191,1518206.000,54331,3,AZ,1,100,0.980
1706146403.637191,1518246.000,54346,2,AZ,1,100,0.988
1706146403.677191,1518286.000,54346,2,AZ,1,100,0.979
1706146403.717191,1518326.000,54363,3,AZ,1,100,0.979
1706146403.757191,1518366.000,54363,3,AZ,1,100,0.988
1706146403.797191,1518406.000,54363,3,AZ,1,100,0.981
1706146403.837191,1518446.000,54379,2,AZ,1,100,0.983
1706146403.877191,1518486.000,54379,2,AZ,1,100,0.986
1706146403.917191,1518526.000,54397,3,AZ,1,100,0.981
1706146403.957191,1518566.000,54397,3,AZ,1,100,0.986
1706146403.997191,1518606.000,54397,3,AZ,1,100,0.984
1706146404.037191,1518646.000,54411,2,AZ,1,100,0.982
1706146404.077191,1518686.000,54411,2,AZ,1,100,0.985
1706146404.117191,1518726.000,54428,3,AZ,1,100,0.983
1706146404.157191,1518766.000,54428,3,AZ,1,100,0.984
1706146404.197191,1518806.000,54428,3,AZ,1,100,0.981
1706146404.237191,1518846.000,54446,2,AZ,1,100,0.985
1706146404.277191,1518886.000,54446,2,AZ,1,100,0.979
1706146404.317191,1518926.000,54466,3,AZ,1,100,0.986
1706146404.357191,1518966.000,54466,3,AZ,1,100,0.980
1706146404.397191,1519006.000,54466,3,AZ,1,100,0.982
1706146404.437191,1519046.000,54481,2,AZ,1,100,0.981
1706146404.477191,1519086.000,54481,2,AZ,1,100,0.978
1706146404.517191,1519126.000,54497,3,AZ,1,100,0.976
1706146404.557191,1519166.000,54497,3,AZ,1,100,0.989
1706146404.597191,1519206.000,54497,3,AZ,1,100,0.982
