LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146406.383191,1520992.000,54800,3,AX,1,100,0.161
1706146406.423191,1521032.000,54800,3,AX,1,100,0.160
1706146406.463191,1521072.000,54816,3,AX,1,100,0.164
1706146406.503191,1521112.000,54816,3,AX,1,100,0.163
1706146406.543191,1521152.000,54816,3,AX,1,100,0.164
1706146406.583191,1521192.000,54832,2,AX,1,100,0.164
1706146406.623191,1521232.000,54832,2,AX,1,100,0.162
1706146406.663191,1521272.000,54852,3,AX,1,100,0.164
1706146406.703191,1521312.000,54852,3,AX,1,100,0.162
1706146406.743191,1521352.000,54852,3,AX,1,100,0.164
1706146406.783191,1521392.000,54871,2,AX,1,100,0.167
1706146406.823191,1521432.000,54871,2,AX,1,100,0.165
1706146406.858858,1521467.667,54887,3,AX,1,100,0.163
1706146406.894524,1521503.333,54887,3,AX,1,100,0.163
1706146406.930191,1521539.000,54887,3,AX,1,100,0.165
1706146406.970191,1521579.000,54910,5,AX,1,100,0.164
1706146407.010191,1521619.000,54910,5,AX,1,100,0.165
1706146407.050191,1521659.000,54910,5,AX,1,100,0.168
1706146407.090191,1521699.000,54910,5,AX,1,100,0.168
1706146407.130191,1521739.000,54910,5,AX,1,100,0.161
1706146407.170191,1521779.000,54927,2,AX,1,100,0.162
1706146407.210191,1521819.000,54927,2,AX,1,100,0.167
1706146407.250191,1521859.000,54944,3,AX,1,100,0.171
1706146407.290191,1521899.000,54944,3,AX,1,100,0.171
1706146407.330191,1521939.000,54944,3,AX,1,100,0.165
1706146407.370191,1521979.000,54962,2,AX,1,100,0.166
1706146407.410191,1522019.000,54962,2,AX,1,100,0.165
1706146407.450191,1522059.000,54977,3,AX,1,100,0.166
1706146407.490191,1522099.000,54977,3,AX,1,100,0.170
1706146407.530191,1522139.000,54977,3,AX,1,100,0.171
1706146407.570191,1522179.000,54994,3,AX,1,100,0.162
1706146407.610191,1522219.000,54994,3,AX,1,100,0.164
1706146407.650191,1522259.000,54994,3,AX,1,100,0.167
1706146407.690191,1522299.000,55011,2,AX,1,100,0.167
1706146407.730191,1522339.000,55011,2,AX,1,100,0.163
1706146407.770191,1522379.000,55028,3,AX,1,100,0.166
1706146407.810191,1522419.000,55028,3,AX,1,100,0.164
1706146407.850191,1522459.000,55028,3,AX,1,100,0.161
1706146407.890191,1522499.000,55042,2,AX,1,100,0.164
1706146407.930191,1522539.000,55042,2,AX,1,100,0.167
1706146407.970191,1522579.000,55062,3,AX,1,100,0.165
1706146408.010191,1522619.000,55062,3,AX,1,100,0.166
1706146408.050191,1522659.000,55062,3,AX,1,100,0.163
1706146408.090191,1522699.000,55078,2,AX,1,100,0.163
1706146408.130191,1522739.000,55078,2,AX,1,100,0.163
1706146408.170191,1522779.000,55095,3,AX,1,100,0.164
1706146408.210191,1522819.000,55095,3,AX,1,100,0.161
1706146408.250191,1522859.000,55095,3,AX,1,100,0.164
1706146408.290191,1522899.000,55110,2,AX,1,100,0.163
1706146408.330191,1522939.000,55110,2,AX,1,100,0.163
1706146408.370191,1522979.000,55127,3,AX,1,100,0.164
1706146408.410191,1523019.000,55127,3,AX,1,100,0.164
1706146408.450191,1523059.000,55127,3,AX,1,100,0.158
1706146408.490191,1523099.000,55143,2,AX,1,100,0.163
1706146408.530191,1523139.000,55143,2,AX,1,100,0.160
1706146408.570191,1523179.000,55161,3,AX,1,100,0.155
1706146408.610191,1523219.000,55161,3,AX,1,100,0.163
1706146408.650191,1523259.000,55161,3,AX,1,100,0.156
1706146408.683691,1523292.500,55175,2,AX,1,100,0.162
1706146408.717191,1523326.000,55175,2,AX,1,100,0.164
1706146408.756858,1523365.667,55194,3,AX,1,100,0.168
1706146408.796524,1523405.333,55194,3,AX,1,100,0.169
1706146408.836191,1523445.000,55194,3,AX,1,100,0.160
1706146408.876191,1523485.000,55210,3,AX,1,100,0.160
1706146408.916191,1523525.000,55210,3,AX,1,100,0.170
1706146408.956191,1523565.000,55210,3,AX,1,100,0.165
1706146408.996191,1523605.000,55228,2,AX,1,100,0.161
1706146409.036191,1523645.000,55228,2,AX,1,100,0.160
1706146409.076191,1523685.000,55242,3,AX,1,100,0.160
1706146409.116191,1523725.000,55242,3,AX,1,100,0.166
1706146409.156191,1523765.000,55242,3,AX,1,100,0.167
1706146409.196191,1523805.000,55261,2,AX,1,100,0.162
1706146409.236191,1523845.000,55261,2,AX,1,100,0.168
1706146409.276191,1523885.000,55278,3,AX,1,100,0.163
1706146409.316191,1523925.000,55278,3,AX,1,100,0.167
1706146409.356191,1523965.000,55278,3,AX,1,100,0.162
1706146409.396191,1524005.000,55295,3,AX,1,100,0.166
