LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1701221181.551695,2338805.000,56567,2,PI,1,100,125534
1701221181.591687,2338845.000,56582,3,PI,1,100,125533
1701221181.631679,2338885.000,56582,3,PI,1,100,125538
1701221181.671671,2338925.000,56582,3,PI,1,100,125518
1701221181.711663,2338965.000,56598,2,PI,1,100,125513
1701221181.751655,2339005.000,56598,2,PI,1,100,125500
1701221181.791647,2339045.000,56616,3,PI,1,100,125472
1701221181.831639,2339085.000,56616,3,PI,1,100,125488
1701221181.871631,2339125.000,56616,3,PI,1,100,125490
1701221181.911623,2339165.000,56632,2,PI,1,100,125453
1701221181.951615,2339205.000,56632,2,PI,1,100,125496
1701221181.991607,2339245.000,56649,3,PI,1,100,125508
1701221182.031599,2339285.000,56649,3,PI,1,100,125496
1701221182.071591,2339325.000,56649,3,PI,1,100,125501
1701221182.111583,2339365.000,56665,2,PI,1,100,125511
1701221182.151575,2339405.000,56665,2,PI,1,100,125515
1701221182.191567,2339445.000,56683,3,PI,1,100,125509
1701221182.231559,2339485.000,56683,3,PI,1,100,125521
1701221182.271551,2339525.000,56683,3,PI,1,100,125520
1701221182.311543,2339565.000,56699,2,PI,1,100,125521
1701221182.351535,2339605.000,56699,2,PI,1,100,125523
1701221182.391527,2339645.000,56715,3,PI,1,100,125505
1701221182.431519,2339685.000,56715,3,PI,1,100,125499
1701221182.471511,2339725.000,56715,3,PI,1,100,125497
1701221182.511503,2339765.000,56731,2,PI,1,100,125500
1701221182.551495,2339805.000,56731,2,PI,1,100,125486
1701221182.591487,2339845.000,56748,3,PI,1,100,125481
1701221182.631479,2339885.000,56748,3,PI,1,100,125502
1701221182.671471,2339925.000,56748,3,PI,1,100,125490
1701221182.711463,2339965.000,56764,3,PI,1,100,125485
1701221182.751455,2340005.000,56764,3,PI,1,100,125484
1701221182.791447,2340045.000,56764,3,PI,1,100,125481
1701221182.831439,2340085.000,56782,2,PI,1,100,125474
1701221182.871431,2340125.000,56782,2,PI,1,100,125505
1701221182.911423,2340165.000,56798,3,PI,1,100,125477
1701221182.951415,2340205.000,56798,3,PI,1,100,125513
1701221182.991407,2340245.000,56798,3,PI,1,100,125481
1701221183.031399,2340285.000,56815,2,PI,1,100,125511
1701221183.071391,2340325.000,56815,2,PI,1,100,125512
1701221183.117882,2340371.500,56834,2,PI,1,100,125486
1701221183.164373,2340418.000,56834,2,PI,1,100,125478
1701221183.204365,2340458.000,56851,3,PI,1,100,125488
1701221183.244357,2340498.000,56851,3,PI,1,100,125509
1701221183.284349,2340538.000,56851,3,PI,1,100,125479
1701221183.324341,2340578.000,56865,2,PI,1,100,125468
1701221183.364333,2340618.000,56865,2,PI,1,100,125480
1701221183.404325,2340658.000,56882,3,PI,1,100,125482
1701221183.444317,2340698.000,56882,3,PI,1,100,125475
