LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1709252889.907386,2818464.000,13192,1,MX,1,100, 0
1709252889.942718,2818499.333,13211,3,MX,1,100, 0
1709252889.978050,2818534.667,13211,3,MX,1,100, 0
1709252890.013382,2818570.000,13211,3,MX,1,100, 1
1709252890.053380,2818610.000,13228,2,MX,1,100, 0
1709252890.093379,2818650.000,13228,2,MX,1,100, 1
1709252890.133377,2818690.000,13244,3,MX,1,100, 0
1709252890.173376,2818730.000,13244,3,MX,1,100, 1
1709252890.213374,2818770.000,13244,3,MX,1,100, 0
1709252890.253372,2818810.000,13262,3,MX,1,100, 0
1709252890.293371,2818850.000,13262,3,MX,1,100, 0
1709252890.333369,2818890.000,13262,3,MX,1,100, 0
1709252890.373368,2818930.000,13276,2,MX,1,100, 1
1709252890.413366,2818970.000,13276,2,MX,1,100, 0
1709252890.453365,2819010.000,13293,3,MX,1,100, 0
1709252890.493363,2819050.000,13293,3,MX,1,100, 0
1709252890.533362,2819090.000,13293,3,MX,1,100, 1
1709252890.573360,2819130.000,13309,3,MX,1,100, 1
1709252890.613359,2819170.000,13309,3,MX,1,100, 0
1709252890.653357,2819210.000,13309,3,MX,1,100, 0
1709252890.693356,2819250.000,13331,2,MX,1,100, 0
1709252890.733354,2819290.000,13331,2,MX,1,100, 0
1709252890.773353,2819330.000,13345,3,MX,1,100, 1
1709252890.813351,2819370.000,13345,3,MX,1,100, 1
1709252890.853349,2819410.000,13345,3,MX,1,100, 0
1709252890.893348,2819450.000,13364,2,MX,1,100, 0
1709252890.933347,2819490.000,13364,2,MX,1,100, 0
1709252890.973345,2819530.000,13381,3,MX,1,100, 1
1709252891.013343,2819570.000,13381,3,MX,1,100, 0
1709252891.053342,2819610.000,13381,3,MX,1,100, 1
1709252891.093340,2819650.000,13398,2,MX,1,100, 1
1709252891.133339,2819690.000,13398,2,MX,1,100, 1
1709252891.173337,2819730.000,13412,3,MX,1,100, 0
1709252891.213336,2819770.000,13412,3,MX,1,100, 0
1709252891.253334,2819810.000,13412,3,MX,1,100, 0
1709252891.293333,2819850.000,13432,2,MX,1,100, 0
1709252891.333331,2819890.000,13432,2,MX,1,100, 0
1709252891.373330,2819930.000,13448,3,MX,1,100, 1
1709252891.413328,2819970.000,13448,3,MX,1,100, 0
1709252891.453327,2820010.000,13448,3,MX,1,100, 0
1709252891.493325,2820050.000,13465,2,MX,1,100, 0
1709252891.533324,2820090.000,13465,2,MX,1,100, 0
1709252891.573322,2820130.000,13479,3,MX,1,100, 0
1709252891.613321,2820170.000,13479,3,MX,1,100, 0
1709252891.653319,2820210.000,13479,3,MX,1,100, 0
1709252891.693317,2820250.000,13499,3,MX,1,100, 1
1709252891.733316,2820290.000,13499,3,MX,1,100, 1
1709252891.773314,2820330.000,13499,3,MX,1,100, 0
1709252891.806813,2820363.500,13515,2,MX,1,100, 1
1709252891.840312,2820397.000,13515,2,MX,1,100, 1
1709252891.880310,2820437.000,13532,3,MX,1,100, 0
1709252891.920309,2820477.000,13532,3,MX,1,100, 0
1709252891.960307,2820517.000,13532,3,MX,1,100, 0
1709252892.000306,2820557.000,13550,2,MX,1,100, 1
1709252892.040304,2820597.000,13550,2,MX,1,100, 0
1709252892.080303,2820637.000,13566,3,MX,1,100, 0
1709252892.120301,2820677.000,13566,3,MX,1,100, 0
1709252892.160300,2820717.000,13566,3,MX,1,100, 0
1709252892.200298,2820757.000,13584,3,MX,1,100, 1
1709252892.240297,2820797.000,13584,3,MX,1,100, 1
1709252892.280295,2820837.000,13584,3,MX,1,100, 0
1709252892.320293,2820877.000,13602,2,MX,1,100, 1
1709252892.360292,2820917.000,13602,2,MX,1,100, 0
1709252892.400290,2820957.000,13618,3,MX,1,100, 0
1709252892.440289,2820997.000,13618,3,MX,1,100, 0
1709252892.480287,2821037.000,13618,3,MX,1,100, 0
1709252892.520286,2821077.000,13637,3,MX,1,100, 0
1709252892.560284,2821117.000,13637,3,MX,1,100, 0
1709252892.600283,2821157.000,13637,3,MX,1,100, 0
1709252892.640281,2821197.000,13652,3,MX,1,100, 0
1709252892.680280,2821237.000,13652,3,MX,1,100, 0
1709252892.720278,2821277.000,13652,3,MX,1,100, 0
1709252892.760277,2821317.000,13671,2,MX,1,100, 0
1709252892.800275,2821357.000,13671,2,MX,1,100, 0
1709252892.840274,2821397.000,13689,3,MX,1,100, 0
1709252892.880272,2821437.000,13689,3,MX,1,100,-1
1709252892.920270,2821477.000,13689,3,MX,1,100, 0
1709252892.960269,2821517.000,13707,2,MX,1,100, 0
1709252893.000268,2821557.000,13707,2,MX,1,100, 0
1709252893.040266,2821597.000,13722,3,MX,1,100, 0
1709252893.080264,2821637.000,13722,3,MX,1,100,-1
1709252893.120263,2821677.000,13722,3,MX,1,100, 0
1709252893.160261,2821717.000,13738,3,MX,1,100, 0
1709252893.200260,2821757.000,13738,3,MX,1,100, 0
1709252893.240258,2821797.000,13738,3,MX,1,100, 0
1709252893.280257,2821837.000,13754,2,MX,1,100, 0
1709252893.320255,2821877.000,13754,2,MX,1,100, 0
1709252893.360254,2821917.000,13774,3,MX,1,100, 0
1709252893.400252,2821957.000,13774,3,MX,1,100, 0
1709252893.440251,2821997.000,13774,3,MX,1,100, 0
1709252893.480249,2822037.000,13789,2,MX,1,100,-1
1709252893.520248,2822077.000,13789,2,MX,1,100, 0
1709252893.560246,2822117.000,13805,3,MX,1,100, 0
1709252893.600245,2822157.000,13805,3,MX,1,100, 0
1709252893.640243,2822197.000,13805,3,MX,1,100,-1
1709252893.680242,2822237.000,13822,2,MX,1,100, 0
1709252893.720240,2822277.000,13822,2,MX,1,100, 1
1709252893.760238,2822317.000,13839,3,MX,1,100, 0
1709252893.800237,2822357.000,13839,3,MX,1,100, 0
1709252893.840235,2822397.000,13839,3,MX,1,100, 0
1709252893.875567,2822432.333,13855,3,MX,1,100, 0
1709252893.910899,2822467.667,13855,3,MX,1,100, 0
1709252893.946231,2822503.000,13855,3,MX,1,100, 0
1709252893.986230,2822543.000,13871,2,MX,1,100, 0
1709252894.026228,2822583.000,13871,2,MX,1,100, 0
1709252894.066227,2822623.000,13887,3,MX,1,100, 0
1709252894.106225,2822663.000,13887,3,MX,1,100, 0
1709252894.146224,2822703.000,13887,3,MX,1,100,-1
1709252894.186222,2822743.000,13904,2,MX,1,100, 0
1709252894.226221,2822783.000,13904,2,MX,1,100, 0
1709252894.266219,2822823.000,13921,3,MX,1,100, 0
1709252894.306218,2822863.000,13921,3,MX,1,100, 0
1709252894.346216,2822903.000,13921,3,MX,1,100, 0
1709252894.386214,2822943.000,13938,2,MX,1,100, 0
