LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1709251378.709342,1307255.000,21604,1,MX,1,100, 2
1709251378.749341,1307295.000,21620,2,MX,1,100, 1
1709251378.789339,1307335.000,21620,2,MX,1,100, 1
1709251378.829338,1307375.000,21638,3,MX,1,100, 2
1709251378.869337,1307415.000,21638,3,MX,1,100, 1
1709251378.909335,1307455.000,21638,3,MX,1,100, 2
1709251378.949334,1307495.000,21654,3,MX,1,100, 1
1709251378.989332,1307535.000,21654,3,MX,1,100, 1
1709251379.029331,1307575.000,21654,3,MX,1,100, 2
1709251379.069330,1307615.000,21671,2,MX,1,100, 1
1709251379.109328,1307655.000,21671,2,MX,1,100, 1
1709251379.149327,1307695.000,21688,3,MX,1,100, 1
1709251379.189326,1307735.000,21688,3,MX,1,100, 2
1709251379.229324,1307775.000,21688,3,MX,1,100, 1
1709251379.269323,1307815.000,21705,2,MX,1,100, 1
1709251379.309321,1307855.000,21705,2,MX,1,100, 1
1709251379.349320,1307895.000,21720,3,MX,1,100, 2
1709251379.389318,1307935.000,21720,3,MX,1,100, 1
1709251379.429317,1307975.000,21720,3,MX,1,100, 1
1709251379.469316,1308015.000,21737,2,MX,1,100, 2
1709251379.509314,1308055.000,21737,2,MX,1,100, 2
1709251379.548980,1308094.667,21755,3,MX,1,100, 2
1709251379.588645,1308134.333,21755,3,MX,1,100, 2
1709251379.628310,1308174.000,21755,3,MX,1,100, 2
1709251379.668809,1308214.500,21772,2,MX,1,100, 1
1709251379.709307,1308255.000,21772,2,MX,1,100, 1
1709251379.746706,1308292.400,21794,5,MX,1,100, 2
1709251379.784105,1308329.800,21794,5,MX,1,100, 1
1709251379.821504,1308367.200,21794,5,MX,1,100, 2
1709251379.858902,1308404.600,21794,5,MX,1,100, 1
1709251379.896301,1308442.000,21794,5,MX,1,100, 2
1709251379.936300,1308482.000,21811,2,MX,1,100, 2
1709251379.976298,1308522.000,21811,2,MX,1,100, 1
1709251380.016297,1308562.000,21826,3,MX,1,100, 2
1709251380.056295,1308602.000,21826,3,MX,1,100, 2
1709251380.096294,1308642.000,21826,3,MX,1,100, 1
1709251380.136293,1308682.000,21843,2,MX,1,100, 2
1709251380.176291,1308722.000,21843,2,MX,1,100, 1
1709251380.216290,1308762.000,21859,3,MX,1,100, 1
1709251380.256289,1308802.000,21859,3,MX,1,100, 2
1709251380.296287,1308842.000,21859,3,MX,1,100, 2
1709251380.336286,1308882.000,21876,2,MX,1,100, 1
1709251380.376284,1308922.000,21876,2,MX,1,100, 2
1709251380.416283,1308962.000,21893,3,MX,1,100, 1
1709251380.456282,1309002.000,21893,3,MX,1,100, 1
1709251380.496280,1309042.000,21893,3,MX,1,100, 2
1709251380.536279,1309082.000,21910,2,MX,1,100, 2
1709251380.576277,1309122.000,21910,2,MX,1,100, 1
1709251380.616276,1309162.000,21926,3,MX,1,100, 1
1709251380.656275,1309202.000,21926,3,MX,1,100, 1
1709251380.696273,1309242.000,21926,3,MX,1,100, 1
1709251380.736272,1309282.000,21943,2,MX,1,100, 2
1709251380.776271,1309322.000,21943,2,MX,1,100, 2
1709251380.816269,1309362.000,21960,3,MX,1,100, 2
1709251380.856268,1309402.000,21960,3,MX,1,100, 1
1709251380.896266,1309442.000,21960,3,MX,1,100, 2
1709251380.936265,1309482.000,21975,2,MX,1,100, 2
1709251380.976264,1309522.000,21975,2,MX,1,100, 2
1709251381.016262,1309562.000,21991,3,MX,1,100, 1
1709251381.056261,1309602.000,21991,3,MX,1,100, 1
1709251381.096260,1309642.000,21991,3,MX,1,100, 1
1709251381.136258,1309682.000,22009,3,MX,1,100, 1
1709251381.176257,1309722.000,22009,3,MX,1,100, 1
1709251381.216255,1309762.000,22009,3,MX,1,100, 2
1709251381.256254,1309802.000,22027,2,MX,1,100, 3
1709251381.296252,1309842.000,22027,2,MX,1,100, 2
1709251381.336251,1309882.000,22042,3,MX,1,100, 2
1709251381.376250,1309922.000,22042,3,MX,1,100, 2
1709251381.416248,1309962.000,22042,3,MX,1,100, 2
1709251381.456247,1310002.000,22059,2,MX,1,100, 2
1709251381.496246,1310042.000,22059,2,MX,1,100, 2
1709251381.536244,1310082.000,22076,3,MX,1,100, 2
1709251381.576243,1310122.000,22076,3,MX,1,100, 2
1709251381.616241,1310162.000,22076,3,MX,1,100, 1
1709251381.656240,1310202.000,22092,2,MX,1,100, 1
1709251381.696239,1310242.000,22092,2,MX,1,100, 1
1709251381.736237,1310282.000,22109,3,MX,1,100, 1
1709251381.776236,1310322.000,22109,3,MX,1,100, 1
1709251381.816235,1310362.000,22109,3,MX,1,100, 2
1709251381.851567,1310397.333,22126,3,MX,1,100, 2
1709251381.886899,1310432.667,22126,3,MX,1,100, 0
1709251381.922231,1310468.000,22126,3,MX,1,100, 2
1709251381.962229,1310508.000,22143,2,MX,1,100, 2
1709251382.002228,1310548.000,22143,2,MX,1,100, 3
1709251382.042227,1310588.000,22159,3,MX,1,100, 2
1709251382.082225,1310628.000,22159,3,MX,1,100, 2
1709251382.122224,1310668.000,22159,3,MX,1,100, 1
1709251382.162223,1310708.000,22175,2,MX,1,100, 2
1709251382.202221,1310748.000,22175,2,MX,1,100, 2
1709251382.242220,1310788.000,22191,3,MX,1,100, 2
1709251382.282218,1310828.000,22191,3,MX,1,100, 2
1709251382.322217,1310868.000,22191,3,MX,1,100, 1
1709251382.362216,1310908.000,22208,2,MX,1,100, 2
1709251382.402214,1310948.000,22208,2,MX,1,100, 1
1709251382.442213,1310988.000,22225,3,MX,1,100, 2
1709251382.482212,1311028.000,22225,3,MX,1,100, 1
1709251382.522210,1311068.000,22225,3,MX,1,100, 1
1709251382.562209,1311108.000,22241,2,MX,1,100, 2
1709251382.602207,1311148.000,22241,2,MX,1,100, 0
1709251382.642206,1311188.000,22256,3,MX,1,100, 2
1709251382.682205,1311228.000,22256,3,MX,1,100, 2
1709251382.722203,1311268.000,22256,3,MX,1,100, 1
1709251382.762202,1311308.000,22274,3,MX,1,100, 2
1709251382.802201,1311348.000,22274,3,MX,1,100, 2
1709251382.842199,1311388.000,22274,3,MX,1,100, 1
1709251382.881698,1311427.500,22290,2,MX,1,100, 2
1709251382.921196,1311467.000,22290,2,MX,1,100, 2
1709251382.961528,1311507.333,22307,3,MX,1,100, 2
1709251383.001860,1311547.667,22307,3,MX,1,100, 2
1709251383.042192,1311588.000,22307,3,MX,1,100, 1
1709251383.081691,1311627.500,22321,2,MX,1,100, 2
1709251383.121189,1311667.000,22321,2,MX,1,100, 2
1709251383.161521,1311707.333,22339,3,MX,1,100, 2
1709251383.201853,1311747.667,22339,3,MX,1,100, 2
1709251383.242185,1311788.000,22339,3,MX,1,100, 3
1709251383.281684,1311827.500,22355,2,MX,1,100, 1
1709251383.321182,1311867.000,22355,2,MX,1,100, 1
1709251383.361514,1311907.333,22372,3,MX,1,100, 2
1709251383.401846,1311947.667,22372,3,MX,1,100, 3
1709251383.442178,1311988.000,22372,3,MX,1,100, 1
1709251383.482177,1312028.000,22387,2,MX,1,100, 2
1709251383.522176,1312068.000,22387,2,MX,1,100, 3
1709251383.561841,1312107.667,22404,3,MX,1,100, 1
1709251383.601506,1312147.333,22404,3,MX,1,100, 1
1709251383.641171,1312187.000,22404,3,MX,1,100, 1
1709251383.677170,1312223.000,22422,3,MX,1,100, 1
1709251383.713169,1312259.000,22422,3,MX,1,100, 1
1709251383.749168,1312295.000,22422,3,MX,1,100, 2
1709251383.789166,1312335.000,22442,2,MX,1,100, 1
1709251383.829165,1312375.000,22442,2,MX,1,100, 2
1709251383.869164,1312415.000,22456,3,MX,1,100, 2
1709251383.909162,1312455.000,22456,3,MX,1,100, 2
1709251383.949161,1312495.000,22456,3,MX,1,100, 2
1709251383.989159,1312535.000,22473,2,MX,1,100, 2
1709251384.029158,1312575.000,22473,2,MX,1,100, 2
1709251384.069157,1312615.000,22489,3,MX,1,100, 2
1709251384.109155,1312655.000,22489,3,MX,1,100, 2
1709251384.149154,1312695.000,22489,3,MX,1,100, 1
1709251384.189152,1312735.000,22507,2,MX,1,100, 2
1709251384.229151,1312775.000,22507,2,MX,1,100, 1
