LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1706146189.404058,1304014.000,19402,3,AZ,1,100,0.971
1706146189.444058,1304054.000,19402,3,AZ,1,100,0.968
1706146189.484057,1304094.000,19402,3,AZ,1,100,0.974
1706146189.524057,1304134.000,19418,2,AZ,1,100,0.977
1706146189.564056,1304174.000,19418,2,AZ,1,100,0.972
1706146189.604056,1304214.000,19434,3,AZ,1,100,0.973
1706146189.644056,1304254.000,19434,3,AZ,1,100,0.971
1706146189.684055,1304294.000,19434,3,AZ,1,100,0.973
1706146189.724055,1304334.000,19451,3,AZ,1,100,0.970
1706146189.764054,1304374.000,19451,3,AZ,1,100,0.968
1706146189.804054,1304414.000,19451,3,AZ,1,100,0.979
1706146189.844053,1304454.000,19469,2,AZ,1,100,0.969
1706146189.884053,1304494.000,19469,2,AZ,1,100,0.969
1706146189.924052,1304534.000,19489,3,AZ,1,100,0.973
1706146189.964052,1304574.000,19489,3,AZ,1,100,0.972
1706146190.004051,1304614.000,19489,3,AZ,1,100,0.972
1706146190.044051,1304654.000,19503,2,AZ,1,100,0.969
1706146190.084051,1304694.000,19503,2,AZ,1,100,0.968
1706146190.124050,1304734.000,19520,3,AZ,1,100,0.972
1706146190.164050,1304774.000,19520,3,AZ,1,100,0.972
1706146190.204049,1304814.000,19520,3,AZ,1,100,0.973
1706146190.244049,1304854.000,19536,2,AZ,1,100,0.969
1706146190.284048,1304894.000,19536,2,AZ,1,100,0.971
1706146190.319381,1304929.333,19554,3,AZ,1,100,0.971
1706146190.354714,1304964.667,19554,3,AZ,1,100,0.971
1706146190.390047,1305000.000,19554,3,AZ,1,100,0.971
1706146190.430047,1305040.000,19568,3,AZ,1,100,0.968
1706146190.470046,1305080.000,19568,3,AZ,1,100,0.974
1706146190.510046,1305120.000,19568,3,AZ,1,100,0.972
1706146190.550045,1305160.000,19585,2,AZ,1,100,0.971
1706146190.590045,1305200.000,19585,2,AZ,1,100,0.968
1706146190.630378,1305240.333,19604,3,AZ,1,100,0.973
1706146190.670711,1305280.667,19604,3,AZ,1,100,0.969
1706146190.711043,1305321.000,19604,3,AZ,1,100,0.972
1706146190.751043,1305361.000,19621,2,AZ,1,100,0.971
1706146190.791043,1305401.000,19621,2,AZ,1,100,0.973
1706146190.831042,1305441.000,19635,3,AZ,1,100,0.970
1706146190.871042,1305481.000,19635,3,AZ,1,100,0.973
1706146190.911041,1305521.000,19635,3,AZ,1,100,0.968
1706146190.951041,1305561.000,19653,2,AZ,1,100,0.972
1706146190.991040,1305601.000,19653,2,AZ,1,100,0.969
1706146191.031040,1305641.000,19669,3,AZ,1,100,0.971
1706146191.071039,1305681.000,19669,3,AZ,1,100,0.973
1706146191.111039,1305721.000,19669,3,AZ,1,100,0.974
1706146191.151038,1305761.000,19686,2,AZ,1,100,0.969
1706146191.191038,1305801.000,19686,2,AZ,1,100,0.969
1706146191.231038,1305841.000,19700,3,AZ,1,100,0.972
1706146191.271037,1305881.000,19700,3,AZ,1,100,0.968
1706146191.311037,1305921.000,19700,3,AZ,1,100,0.973
1706146191.351036,1305961.000,19718,3,AZ,1,100,0.971
1706146191.391036,1306001.000,19718,3,AZ,1,100,0.973
1706146191.431035,1306041.000,19718,3,AZ,1,100,0.971
1706146191.471035,1306081.000,19736,2,AZ,1,100,0.974
1706146191.511034,1306121.000,19736,2,AZ,1,100,0.967
1706146191.551034,1306161.000,19753,3,AZ,1,100,0.969
1706146191.591033,1306201.000,19753,3,AZ,1,100,0.968
1706146191.631033,1306241.000,19753,3,AZ,1,100,0.973
1706146191.671033,1306281.000,19772,2,AZ,1,100,0.965
1706146191.711032,1306321.000,19772,2,AZ,1,100,0.972
1706146191.751032,1306361.000,19787,3,AZ,1,100,0.966
1706146191.791031,1306401.000,19787,3,AZ,1,100,0.970
1706146191.831031,1306441.000,19787,3,AZ,1,100,0.970
1706146191.871030,1306481.000,19803,2,AZ,1,100,0.972
1706146191.911030,1306521.000,19803,2,AZ,1,100,0.968
1706146191.951029,1306561.000,19824,4,AZ,1,100,0.968
1706146191.991029,1306601.000,19824,4,AZ,1,100,0.973
1706146192.031029,1306641.000,19824,4,AZ,1,100,0.971
1706146192.071028,1306681.000,19824,4,AZ,1,100,0.973
1706146192.111027,1306721.000,19841,3,AZ,1,100,0.967
1706146192.151027,1306761.000,19841,3,AZ,1,100,0.969
1706146192.191027,1306801.000,19841,3,AZ,1,100,0.970
1706146192.226360,1306836.333,19857,3,AZ,1,100,0.971
1706146192.261693,1306871.667,19857,3,AZ,1,100,0.969
1706146192.297025,1306907.000,19857,3,AZ,1,100,0.973
1706146192.337025,1306947.000,19877,2,AZ,1,100,0.973
1706146192.377025,1306987.000,19877,2,AZ,1,100,0.966
1706146192.417024,1307027.000,19891,3,AZ,1,100,0.969
1706146192.457024,1307067.000,19891,3,AZ,1,100,0.975
1706146192.497023,1307107.000,19891,3,AZ,1,100,0.967
1706146192.537023,1307147.000,19908,2,AZ,1,100,0.978
1706146192.577022,1307187.000,19908,2,AZ,1,100,0.971
1706146192.617022,1307227.000,19925,3,AZ,1,100,0.972
1706146192.657021,1307267.000,19925,3,AZ,1,100,0.974
1706146192.697021,1307307.000,19925,3,AZ,1,100,0.968
1706146192.737020,1307347.000,19942,2,AZ,1,100,0.969
1706146192.777020,1307387.000,19942,2,AZ,1,100,0.971
1706146192.817019,1307427.000,19956,3,AZ,1,100,0.969
1706146192.857019,1307467.000,19956,3,AZ,1,100,0.969
1706146192.897019,1307507.000,19956,3,AZ,1,100,0.971
1706146192.937018,1307547.000,19974,3,AZ,1,100,0.970
1706146192.977018,1307587.000,19974,3,AZ,1,100,0.967
1706146193.017017,1307627.000,19974,3,AZ,1,100,0.974
1706146193.057017,1307667.000,19992,2,AZ,1,100,0.967
1706146193.097016,1307707.000,19992,2,AZ,1,100,0.974
1706146193.137016,1307747.000,20009,3,AZ,1,100,0.966
1706146193.177016,1307787.000,20009,3,AZ,1,100,0.972
1706146193.217015,1307827.000,20009,3,AZ,1,100,0.967
1706146193.257015,1307867.000,20023,2,AZ,1,100,0.970
1706146193.297014,1307907.000,20023,2,AZ,1,100,0.969
1706146193.337014,1307947.000,20041,3,AZ,1,100,0.971
1706146193.377013,1307987.000,20041,3,AZ,1,100,0.968
1706146193.417013,1308027.000,20041,3,AZ,1,100,0.971
1706146193.457012,1308067.000,20057,2,AZ,1,100,0.969
1706146193.497012,1308107.000,20057,2,AZ,1,100,0.967
1706146193.537011,1308147.000,20074,3,AZ,1,100,0.967
1706146193.577011,1308187.000,20074,3,AZ,1,100,0.968
1706146193.617011,1308227.000,20074,3,AZ,1,100,0.971
1706146193.657010,1308267.000,20090,2,AZ,1,100,0.968
1706146193.697010,1308307.000,20090,2,AZ,1,100,0.968
1706146193.737009,1308347.000,20108,3,AZ,1,100,0.970
1706146193.777009,1308387.000,20108,3,AZ,1,100,0.966
1706146193.817008,1308427.000,20108,3,AZ,1,100,0.969
1706146193.857008,1308467.000,20124,2,AZ,1,100,0.971
1706146193.897007,1308507.000,20124,2,AZ,1,100,0.977
1706146193.937007,1308547.000,20142,3,AZ,1,100,0.961
1706146193.977006,1308587.000,20142,3,AZ,1,100,0.972
1706146194.017006,1308627.000,20142,3,AZ,1,100,0.968
1706146194.057005,1308667.000,20158,3,AZ,1,100,0.974
1706146194.097005,1308707.000,20158,3,AZ,1,100,0.967
